fenetre,reference,n,taux_panne,taux_alerte,rappel,precision,pr_auc,roc_auc,fn,tp
2,haute,8734,0.0519807648271124,0.3261964735516373,0.737885462555066,0.1175851175851175,0.2287540839993017,0.792795787311924,119,335
1,normale,8734,0.0519807648271124,0.348523013510419,0.7533039647577092,0.1123521681997371,0.2360388464339304,0.7912595235055013,112,342
3,normale,8734,0.0496908632928784,0.348523013510419,0.0506912442396313,0.007227332457293,0.0288388928327074,0.2090286491588473,412,22
janvier,normale,10999,0.05509591781071,0.3684880443676698,0.801980198019802,0.1199111769059955,0.2801471289484292,0.8159351511981757,120,486
janvier,haute,10999,0.05509591781071,0.3684880443676698,0.801980198019802,0.1199111769059955,0.2801471289484292,0.8159351511981757,120,486
2,normale,8734,0.05198076482711243,0.3261964735516373,0.737885462555066,0.11758511758511758,0.22875408399930178,0.792795787311924,119,335
